education_key,education_id,country,iso,year,"Primary completion rate, total (% of relevant age group)","School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, male (% gross)","Primary completion rate, male (% of relevant age group)","School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","Primary completion rate, female (% of relevant age group)"
302,87,Australia,AUS,2012,-1,-1,-1,-1,-1,105.768203735352,-1,4.86899995803833,105.984451293945,106.189468383789,-1
303,88,Australia,AUS,2013,-1,-1,-1,-1,-1,105.834861755371,-1,5.22974014282227,105.993850708008,106.144462585449,-1
304,89,Australia,AUS,2014,-1,-1,-1,-1,-1,105.321708679199,-1,5.16477012634277,105.457092285156,105.58519744873,-1
305,90,Australia,AUS,2015,-1,118.610862731934,157.167663574219,167.879043579102,-1,101.615051269531,145.888046264648,5.31127023696899,101.599906921387,101.585601806641,-1
306,91,Australia,AUS,2016,-1,120.965713500977,153.013198852539,163.580596923828,-1,100.733032226563,141.896347045898,5.276780128479,100.744407653809,100.75520324707,-1
307,92,Australia,AUS,2017,-1,113.142158508301,150.311477661133,159.008758544922,-1,100.333930969238,141.165374755859,5.12790012359619,100.338981628418,100.343757629395,-1
308,93,Australia,AUS,2018,-1,107.808052062988,132.772888183594,136.7080078125,-1,100.104598999023,128.636001586914,5.10789012908936,100.160591125488,100.213722229004,-1
309,94,Australia,AUS,2019,-1,115.952041625977,140.646041870117,145.338226318359,-1,99.6869201660156,135.714324951172,-1,99.7271499633789,99.7653274536133,-1
310,95,Australia,AUS,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
311,96,Germany,DEU,2005,96.879638671875,-1,102.279586791992,103.584098815918,96.9907684326172,102.894973754883,100.913528442383,-1,103.106376647949,103.307769775391,96.7630310058594
312,97,Germany,DEU,2006,98.4968032836914,-1,103.058288574219,104.5341796875,98.4190368652344,103.970748901367,101.51139831543,4.2939600944519,104.213256835938,104.444351196289,98.5783767700195
313,98,Germany,DEU,2007,103.536979675293,-1,102.242286682129,103.552528381348,103.329727172852,104.500633239746,100.868667602539,4.36679983139038,104.786338806152,105.058547973633,103.754447937012
314,99,Germany,DEU,2008,101.979026794434,-1,103.308319091797,104.739540100098,101.965179443359,103.647743225098,101.807891845703,4.43594980239868,104.023979187012,104.382400512695,101.99356842041
315,100,Germany,DEU,2009,102.383796691895,-1,103.158248901367,105.897361755371,102.482223510742,103.067512512207,100.286727905273,4.90951013565063,103.396423339844,103.709701538086,102.280517578125
316,101,Germany,DEU,2010,102.015350341797,-1,103.974838256836,106.666168212891,102.072631835938,102.695167541504,101.152847290039,4.94367980957031,102.995880126953,103.282211303711,101.955207824707
317,102,Germany,DEU,2011,101.566879272461,-1,103.762420654297,106.513397216797,101.817581176758,102.11483001709,100.876739501953,4.82487010955811,102.46656036377,102.801376342773,101.303596496582
318,103,Germany,DEU,2012,98.6531372070313,-1,102.167610168457,104.853500366211,98.488151550293,101.477088928223,99.3399810791016,4.95658016204834,101.614196777344,101.744430541992,98.8268508911133
319,104,Germany,DEU,2013,98.3986892700195,61.3868408203125,100.810890197754,103.181327819824,98.4834823608398,100.557357788086,98.3072204589844,4.93538999557495,100.838249206543,101.104553222656,98.3092269897461
320,105,Germany,DEU,2014,97.2827072143555,65.50390625,99.7107162475586,102.031860351563,97.320426940918,100.359252929688,97.2517929077148,4.92102003097534,100.538642883301,100.708427429199,97.2428436279297
321,106,Germany,DEU,2015,98.9182968139648,67.7468719482422,98.822639465332,101.118949890137,98.8540420532227,101.600959777832,96.3832321166992,4.85515022277832,101.667449951172,101.730293273926,98.9863510131836
322,107,Germany,DEU,2016,97.9372024536133,69.5805892944336,98.8119964599609,101.310173034668,97.5933532714844,102.691497802734,96.1512298583984,4.83923006057739,102.677558898926,102.664390563965,98.3018798828125
323,108,Germany,DEU,2017,98.8051376342773,70.2466506958008,98.4092788696289,101.385803222656,98.5121765136719,104.159797668457,95.223503112793,4.88274002075195,104.022361755371,103.893013000488,99.1170425415039
324,109,Germany,DEU,2018,100.843322753906,70.342643737793,97.5934982299805,100.421089172363,100.146240234375,104.279808044434,94.5529708862305,4.99274015426636,103.894561767578,103.532806396484,101.587768554688
325,110,Germany,DEU,2019,99.0177993774414,73.5210571289063,97.5406036376953,100.085929870605,98.2456665039063,102.958251953125,94.7924499511719,-1,102.516181945801,102.101577758789,99.8440475463867
326,111,Germany,DEU,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
327,112,Chad,TCD,2005,30.0958194732666,1.4206999540329,15.6400203704834,23.1702308654785,39.7669105529785,57.7772216796875,8.02972984313965,1.69476997852325,71.6145706176758,85.311767578125,20.3276596069336
328,113,Chad,TCD,2006,29.5975303649902,-1,16.0604991912842,23.5757503509521,38.7018508911133,57.3852882385254,8.46424961090088,-1,70.9291381835938,84.3376312255859,20.4008197784424
329,114,Chad,TCD,2007,-1,-1,18.5013999938965,25.4904308319092,-1,57.3603286743164,11.4395704269409,-1,69.7853317260742,82.0851669311523,-1
330,115,Chad,TCD,2008,-1,1.94304001331329,20.9453105926514,29.6043796539307,-1,64.1906509399414,12.1979598999023,-1,77.7206497192383,91.1190719604492,-1
331,116,Chad,TCD,2009,31.0771808624268,2.00883007049561,22.9927196502686,32.4814186096191,39.3601303100586,67.8360824584961,13.4071397781372,2.31173992156982,81.9750595092773,95.9881591796875,22.7014408111572
332,117,Chad,TCD,2010,30.8605804443359,2.09606003761292,22.5885696411133,31.6873207092285,38.5011596679688,69.1014709472656,13.3939695358276,1.98194003105164,81.9184799194336,94.6383514404297,23.1339702606201
333,118,Chad,TCD,2011,33.9375915527344,2.21495008468628,23.0659408569336,32.025821685791,41.79296875,75.7274780273438,14.0074901580811,2.25789999961853,88.6454772949219,101.487396240234,26.0040893554688
334,119,Chad,TCD,2012,34.4006614685059,-1,22.3210906982422,30.5871906280518,42.4699592590332,79.7950210571289,13.9688997268677,2.20615005493164,92.8953323364258,105.93335723877,26.2705497741699
335,120,Chad,TCD,2013,37.6621894836426,-1,24.6756496429443,33.7620887756348,46.1634902954102,86.3178176879883,15.5000896453857,2.85070991516113,100.132751464844,113.890258789063,29.1114196777344
336,121,Chad,TCD,2014,-1,3.43384003639221,23.0396595001221,31.7155208587646,-1,87.3128509521484,14.2842597961426,2.59999990463257,101.584831237793,115.800300598145,-1
337,122,Chad,TCD,2015,37.4959716796875,3.25130009651184,22.415060043335,30.8951892852783,45.2961616516113,79.4482192993164,13.8637504577637,2.40000009536743,91.5831298828125,103.669708251953,29.6690292358398
338,123,Chad,TCD,2016,41.3202590942383,-1,22.5566005706787,30.8915691375732,49.5873184204102,75.4686737060547,14.1596403121948,2.29999995231628,86.8468704223633,98.1793212890625,33.0281410217285
339,124,Chad,TCD,2017,37.9223899841309,-1,20.680700302124,27.3943290710449,45.0125617980957,67.6915817260742,13.9281902313232,2.45481991767883,78.5740432739258,89.4078903198242,30.8099498748779
340,125,Chad,TCD,2018,40.5602188110352,-1,20.2102794647217,26.5042705535889,47.4359397888184,78.4958114624023,13.8878898620605,2.25947999954224,89.7342834472656,100.916831970215,33.6610298156738
341,126,Chad,TCD,2019,-1,-1,20.5550403594971,26.8095607757568,-1,78.0417098999023,14.2773399353027,2.37245988845825,89.1911392211914,100.27995300293,-1
342,127,Chad,TCD,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
343,128,Switzerland,CHE,2005,96.9664077758789,45.8041496276855,95.4532165527344,98.3063125610352,95.6520767211914,102.14769744873,92.4630737304688,5.05740022659302,102.307182312012,102.458183288574,98.3536529541016
344,129,Switzerland,CHE,2006,93.9294281005859,46.5377998352051,96.0268936157227,98.7787704467773,92.6440734863281,101.767631530762,93.1368026733398,4.81757020950317,101.986846923828,102.194480895996,95.2851486206055
345,130,Switzerland,CHE,2007,93.3588027954102,47.2425308227539,95.9110412597656,98.3974990844727,92.2706298828125,101.874946594238,93.3035736083984,4.55798006057739,102.108108520508,102.328811645508,94.5080184936523
346,131,Switzerland,CHE,2008,94.407112121582,48.8332786560059,95.8860473632813,98.1076507568359,93.4407424926758,102.273178100586,93.5561218261719,4.73192977905273,102.540679931641,102.793701171875,95.4290237426758
