qol_key,qol_id,country,iso,year,"Unemployment, total (% of total labor force)",People using safely managed drinking water services (% of population),"Unemployment, male (% of male labor force)",Maternal leave benefits (% of wages paid in covered period),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),Prevalence of hypertension (% of adults ages 30-79),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),"Unemployment, female (% of female labor force)",Treatment for hypertension (% of adults ages 30-79 with hypertension),People using at least basic drinking water services (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk)
529,124,Chad,TCD,2017,1.118999958,5.568481244,1.378000021,50,11.38071688,9.625769072,38.3,-1,0.7440000176,22.7,45.10250956,59.1
530,125,Chad,TCD,2018,1.129999995,5.573686802,1.383999944,-1,11.58993917,9.781107203,38.1,-1,0.7599999905,23.6,45.46056009,58.9
531,126,Chad,TCD,2019,1.123000026,5.58120967,1.368000031,-1,11.81708026,9.951135834,37.9,-1,0.7689999938,24.5,45.82211121,60.5
532,127,Chad,TCD,2020,1.741999984,5.591479791,2.046000004,-1,12.06370114,10.13711759,-1,-1,1.292999983,-1,46.18753479,60.4
533,128,Switzerland,CHE,2005,4.440000057,94.24814963,3.89199996,-1,99.88103755,99.61608332,29.2,-1,5.092999935,44.8,99.99999835,0
534,129,Switzerland,CHE,2006,4,94.24815428,3.40199995,-1,99.88106096,99.61636646,28.8,-1,4.711999893,46.2,100.0000033,0.1
535,130,Switzerland,CHE,2007,3.650000095,94.24815272,2.930000067,-1,99.8810778,99.61664303,28.3,-1,4.511000156,47.5,100.0000016,0.1
536,131,Switzerland,CHE,2008,3.349999905,94.24814968,2.819999933,-1,99.88109307,99.61691804,27.9,-1,3.970000029,48.7,99.9999984,0.1
537,132,Switzerland,CHE,2009,4.119999886,94.2481497,3.773000002,68,99.88111087,99.61718556,27.4,-1,4.524000168,49.8,99.99999842,0
538,133,Switzerland,CHE,2010,4.800000191,94.24815119,4.474999905,-1,99.88113094,99.61746539,26.9,-1,5.184000015,50.8,100,0
539,134,Switzerland,CHE,2011,4.400000095,94.24815119,4.070000172,60,99.88400443,99.62057864,26.3,-1,4.789999962,51.7,100,0
540,135,Switzerland,CHE,2012,4.480000019,94.24815119,4.274000168,-1,99.88687173,99.62366575,25.7,-1,4.72300005,52.5,100,0
541,136,Switzerland,CHE,2013,4.75,94.24815119,4.602000237,64,99.88973388,99.62673767,25.1,-1,4.922999859,53.2,100,0
542,137,Switzerland,CHE,2014,4.829999924,94.248154,4.690999985,-1,99.89259473,99.62981829,24.5,-1,4.991000175,53.8,100.000003,0
543,138,Switzerland,CHE,2015,4.800000191,94.24815119,4.702000141,80,99.89544487,99.63288821,24,-1,4.913000107,54.3,100,0
544,139,Switzerland,CHE,2016,4.920000076,94.24815394,4.84100008,-1,99.89829607,99.63594918,23.4,-1,5.011000156,54.8,100.0000029,0
545,140,Switzerland,CHE,2017,4.800000191,94.24815119,4.572000027,80,99.89987358,99.63774647,22.9,-1,5.063000202,55.3,100,0
546,141,Switzerland,CHE,2018,4.710000038,94.24815119,4.366000175,-1,99.89987362,99.63810616,22.4,-1,5.105000019,55.7,100,0
547,142,Switzerland,CHE,2019,4.389999866,94.24815119,4.109000206,-1,99.89987367,99.63862569,21.9,-1,4.709000111,56.1,100,0
548,143,Switzerland,CHE,2020,4.820000172,94.24815385,4.660999775,-1,99.89987655,99.65155911,-1,-1,5.000999928,-1,100.0000028,0
