Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2005-0470-MEX,2005,Natural,Hydrological,Flood,Riverine flood,,MEX,2005,8,2005,8,30,10000,,72.07141045
2005-0567-MEX,2005,Natural,Meteorological,Storm,Tropical cyclone,Stan,MEX,2005,10,2005,10,36,1954571,3468782,72.07141045
2005-0585-MEX,2005,Natural,Meteorological,Storm,Tropical cyclone,"Hurricane ""Wilma""",MEX,2005,10,2005,10,7,1000000,6937564,72.07141045
2005-0283-MEX,2005,Natural,Hydrological,Flood,,,MEX,2005,5,2005,5,8,1000,,72.07141045
2005-0286-USA,2005,Natural,Hydrological,Flood,Flash flood,,USA,2005,5,2005,5,,,7395,72.07141045
2005-0583-USA,2005,Natural,Hydrological,Flood,Riverine flood,,USA,2005,10,2005,10,11,3000,,72.07141045
2005-0524-MEX,2005,Natural,Meteorological,Storm,Tropical cyclone,Bret,MEX,2005,6,2005,6,2,15000,13875,72.07141045
2005-0219-USA,2005,Natural,Meteorological,Storm,Convective storm,,USA,2005,4,2005,4,,104,485629,72.07141045
2005-0547-USA,2005,Natural,Meteorological,Storm,Tropical cyclone,Rita,USA,2005,9,2005,10,10,300000,22200204,72.07141045
2005-9719-KEN,2005,Natural,Climatological,Drought,Drought,,KEN,2005,12,2006,,27,3500000,,72.07141045
2005-0215-KEN,2005,Natural,Hydrological,Flood,Flash flood,,KEN,2005,4,2005,4,1,25000,694,72.07141045
2005-0260-KEN,2005,Natural,Hydrological,Flood,Flash flood,,KEN,2005,5,2005,5,5,10000,,72.07141045
2005-0526-KEN,2005,Natural,Hydrological,Flood,Riverine flood,,KEN,2005,6,2005,6,20,1200,,72.07141045
2005-0755-KEN,2005,Natural,Biological,Epidemic,Bacterial disease,Meningococcal disease,KEN,2005,12,2006,2,12,45,,72.07141045
